Metric:,Active Listings
Time Calculation:,Monthly
Data from:,5/27/2026
Segments:,Dana Point

Filters
Dana Point:,"Residential, Single Family, Detached"


Date,"Dana Point",
January 2021,86,
February 2021,80,
March 2021,76,
April 2021,64,
May 2021,63,
June 2021,53,
July 2021,52,
August 2021,55,
September 2021,57,
October 2021,59,
November 2021,48,
December 2021,38,
January 2022,43,
February 2022,48,
March 2022,44,
April 2022,51,
May 2022,59,
June 2022,70,
July 2022,72,
August 2022,67,
September 2022,59,
October 2022,66,
November 2022,64,
December 2022,55,
January 2023,58,
February 2023,59,
March 2023,67,
April 2023,73,
May 2023,83,
June 2023,80,
July 2023,84,
August 2023,73,
September 2023,69,
October 2023,64,
November 2023,65,
December 2023,63,
January 2024,74,
February 2024,72,
March 2024,76,
April 2024,89,
May 2024,97,
June 2024,103,
July 2024,102,
August 2024,103,
September 2024,104,
October 2024,103,
November 2024,90,
December 2024,79,
January 2025,101,
February 2025,100,
March 2025,97,
April 2025,103,
May 2025,97,
June 2025,91,
July 2025,86,
August 2025,84,
September 2025,82,
October 2025,72,
November 2025,70,
December 2025,60,
January 2026,67,
February 2026,59,
March 2026,60,
April 2026,62,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


