Metric:,Inventory Months Supply
Time Calculation:,Monthly
Data from:,5/27/2026
Segments:,Dana Point

Filters
Dana Point:,"Residential, Single Family, Detached"


Date,"Dana Point",
January 2021,2.6,
February 2021,2.4,
March 2021,2.1,
April 2021,1.7,
May 2021,1.6,
June 2021,1.4,
July 2021,1.4,
August 2021,1.5,
September 2021,1.6,
October 2021,1.7,
November 2021,1.3,
December 2021,1.1,
January 2022,1.3,
February 2022,1.5,
March 2022,1.4,
April 2022,1.7,
May 2022,2.1,
June 2022,2.7,
July 2022,3.0,
August 2022,2.9,
September 2022,2.6,
October 2022,3.2,
November 2022,3.6,
December 2022,3.1,
January 2023,3.3,
February 2023,3.3,
March 2023,4.1,
April 2023,4.7,
May 2023,5.1,
June 2023,4.6,
July 2023,4.7,
August 2023,4.0,
September 2023,3.9,
October 2023,3.4,
November 2023,3.5,
December 2023,3.4,
January 2024,4.0,
February 2024,3.9,
March 2024,4.0,
April 2024,4.7,
May 2024,5.2,
June 2024,5.7,
July 2024,5.7,
August 2024,5.8,
September 2024,5.7,
October 2024,5.6,
November 2024,4.6,
December 2024,3.9,
January 2025,4.9,
February 2025,4.7,
March 2025,4.6,
April 2025,4.8,
May 2025,4.5,
June 2025,4.2,
July 2025,4.0,
August 2025,4.0,
September 2025,3.8,
October 2025,3.3,
November 2025,3.3,
December 2025,2.9,
January 2026,3.3,
February 2026,2.9,
March 2026,3,
April 2026,3.1,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


