Metric:,Median Sales Price
Time Calculation:,Monthly
Data from:,5/27/2026
Segments:,Dana Point

Filters
Dana Point:,"Residential, Single Family, Detached"


Date,"Dana Point",
January 2021,1398750,
February 2021,1370000,
March 2021,1440000,
April 2021,2368000,
May 2021,1900000,
June 2021,1815000,
July 2021,1780000,
August 2021,1912500,
September 2021,1675000,
October 2021,2100000,
November 2021,1350000,
December 2021,1900000,
January 2022,1900000,
February 2022,1952500,
March 2022,2947500,
April 2022,2112500,
May 2022,2050000,
June 2022,2450000,
July 2022,1800000,
August 2022,2200000,
September 2022,2200000,
October 2022,1935000,
November 2022,1535000,
December 2022,1625000,
January 2023,1959000,
February 2023,1717500,
March 2023,1500000,
April 2023,1840000,
May 2023,2239000,
June 2023,2105000,
July 2023,1735000,
August 2023,2799000,
September 2023,2025000,
October 2023,1634400,
November 2023,1862500,
December 2023,1700000,
January 2024,1707500,
February 2024,2112500,
March 2024,1625000,
April 2024,2090548,
May 2024,2229382,
June 2024,1744400,
July 2024,1792500,
August 2024,2037500,
September 2024,1900000,
October 2024,2065000,
November 2024,1825000,
December 2024,2100000,
January 2025,2518750,
February 2025,2170000,
March 2025,2152500,
April 2025,1740000,
May 2025,2450000,
June 2025,2350000,
July 2025,2395000,
August 2025,1835000,
September 2025,1872500,
October 2025,3050000,
November 2025,3300000,
December 2025,3525000,
January 2026,4350000,
February 2026,3512500,
March 2026,2830000,
April 2026,2994000,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


