Metric:,Pending Sales
Time Calculation:,Monthly
Data from:,5/27/2026
Segments:,Dana Point

Filters
Dana Point:,"Residential, Single Family, Detached"


Date,"Dana Point",
January 2021,31,
February 2021,40,
March 2021,41,
April 2021,44,
May 2021,38,
June 2021,41,
July 2021,37,
August 2021,29,
September 2021,29,
October 2021,32,
November 2021,41,
December 2021,15,
January 2022,12,
February 2022,15,
March 2022,36,
April 2022,28,
May 2022,17,
June 2022,18,
July 2022,18,
August 2022,18,
September 2022,21,
October 2022,5,
November 2022,11,
December 2022,13,
January 2023,12,
February 2023,16,
March 2023,19,
April 2023,19,
May 2023,24,
June 2023,32,
July 2023,25,
August 2023,21,
September 2023,17,
October 2023,16,
November 2023,9,
December 2023,10,
January 2024,13,
February 2024,17,
March 2024,24,
April 2024,20,
May 2024,22,
June 2024,21,
July 2024,23,
August 2024,22,
September 2024,21,
October 2024,17,
November 2024,24,
December 2024,17,
January 2025,19,
February 2025,23,
March 2025,25,
April 2025,21,
May 2025,24,
June 2025,23,
July 2025,23,
August 2025,18,
September 2025,24,
October 2025,21,
November 2025,14,
December 2025,13,
January 2026,14,
February 2026,25,
March 2026,24,
April 2026,20,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


