Metric:,Active Listings
Time Calculation:,Monthly
Data from:,6/16/2026
Segments:,Orange County,San Clemente,Dana Point,Laguna Beach

Filters
Orange County:,"Residential, Single Family"
San Clemente:,"Residential, Single Family"
Dana Point:,"Residential, Single Family"
Laguna Beach:,"Residential, Single Family"


Date,"Orange County","San Clemente","Dana Point","Laguna Beach",
January 2021,2540,76,90,153,
February 2021,2541,98,81,157,
March 2021,2601,95,76,158,
April 2021,2664,101,65,154,
May 2021,2597,101,64,132,
June 2021,2702,103,53,128,
July 2021,2767,100,52,126,
August 2021,2629,93,55,137,
September 2021,2400,70,58,113,
October 2021,2185,78,59,109,
November 2021,1750,56,49,78,
December 2021,1383,43,39,71,
January 2022,1616,44,45,81,
February 2022,1774,62,49,73,
March 2022,1955,63,45,79,
April 2022,2405,79,52,77,
May 2022,2927,114,63,84,
June 2022,3500,126,74,116,
July 2022,3770,144,74,106,
August 2022,3509,129,70,110,
September 2022,3437,128,64,111,
October 2022,3295,130,72,119,
November 2022,2942,119,73,113,
December 2022,2362,91,61,94,
January 2023,2236,89,62,97,
February 2023,2155,79,63,105,
March 2023,2160,92,75,105,
April 2023,2199,94,80,104,
May 2023,2250,96,90,124,
June 2023,2322,109,85,130,
July 2023,2373,118,88,149,
August 2023,2355,118,76,148,
September 2023,2350,116,72,154,
October 2023,2315,101,69,146,
November 2023,2186,103,72,141,
December 2023,1865,83,70,125,
January 2024,1989,95,80,126,
February 2024,2064,107,79,119,
March 2024,2161,118,81,128,
April 2024,2324,133,93,124,
May 2024,2605,151,104,141,
June 2024,2846,162,113,150,
July 2024,3090,175,108,163,
August 2024,3187,145,110,164,
September 2024,3137,135,114,165,
October 2024,3039,136,113,170,
November 2024,2706,119,99,152,
December 2024,2283,75,87,144,
January 2025,2604,91,110,160,
February 2025,2895,131,109,181,
March 2025,3287,142,102,206,
April 2025,3679,145,108,220,
May 2025,3857,155,101,225,
June 2025,3952,156,96,220,
July 2025,3974,159,93,201,
August 2025,3788,145,91,201,
September 2025,3453,126,89,181,
October 2025,3148,121,77,158,
November 2025,2797,99,76,151,
December 2025,2276,81,67,129,
January 2026,2494,82,72,137,
February 2026,2744,80,66,145,
March 2026,2812,82,65,147,
April 2026,2974,79,70,152,
May 2026,3058,97,74,148,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


