Metric:,Median Days Active in MLS
Time Calculation:,Monthly
Data from:,6/16/2026
Segments:,Orange County,San Clemente,Dana Point,Laguna Beach

Filters
Orange County:,"Residential, Single Family"
San Clemente:,"Residential, Single Family"
Dana Point:,"Residential, Single Family"
Laguna Beach:,"Residential, Single Family"


Date,"Orange County","San Clemente","Dana Point","Laguna Beach",
January 2021,10,5,46,16,
February 2021,8,7,10,21,
March 2021,6,5,13,23,
April 2021,6,5,20,12,
May 2021,7,6,8,11,
June 2021,7,6,9,35,
July 2021,7,8,6,17,
August 2021,8,6,9,25,
September 2021,8,9,10,23,
October 2021,8,11,16,13,
November 2021,8,7,8,17,
December 2021,8,7,7,12,
January 2022,8,12,10,30,
February 2022,7,7,11,15,
March 2022,6,6,7,8,
April 2022,7,7,5,9,
May 2022,7,7,10,10,
June 2022,9,9,7,23,
July 2022,13,21,14,7,
August 2022,17,15,14,38,
September 2022,21,18,15,15,
October 2022,25,33,14,36,
November 2022,21,38,8,47,
December 2022,24,30,36,22,
January 2023,30,37,15,49,
February 2023,21,14,10,21,
March 2023,14,24,20,27,
April 2023,10,10,13,43,
May 2023,10,8,33,37,
June 2023,9,17,16,19,
July 2023,9,11,18,26,
August 2023,10,19,18,21,
September 2023,10,7,16,34,
October 2023,12,18,43,53,
November 2023,12,17,16,33,
December 2023,13,36,49,48,
January 2024,18,22,17,32,
February 2024,10,20,8,76,
March 2024,9,10,12,54,
April 2024,9,9,24,26,
May 2024,9,8,11,38,
June 2024,9,11,17,20,
July 2024,10,13,17,43,
August 2024,12,14,41,44,
September 2024,14,29,43,29,
October 2024,16,23,19,53,
November 2024,16,22,17,69,
December 2024,19,21,12,49,
January 2025,24,33,28,42,
February 2025,13,13,14,113,
March 2025,11,19,19,22,
April 2025,11,15,41,44,
May 2025,12,14,15,28,
June 2025,14,27,17,34,
July 2025,17,30,30,55,
August 2025,19,28,45,55,
September 2025,20,35,14,26,
October 2025,22,28,25,61,
November 2025,21,29,28,63,
December 2025,21,22,55,78,
January 2026,22,72,66,37,
February 2026,13,8,60,62,
March 2026,11,11,14,26,
April 2026,11,11,12,25,
May 2026,12,8,9,35,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


