Metric:,Median Price Per Square Foot
Time Calculation:,Monthly
Data from:,7/15/2026
Segments:,Dana Point

Filters
Dana Point:,"Residential, Single Family, Detached"


Date,"Dana Point",
January 2021,615,
February 2021,677,
March 2021,666,
April 2021,794,
May 2021,739,
June 2021,741,
July 2021,742,
August 2021,827,
September 2021,804,
October 2021,759,
November 2021,748,
December 2021,848,
January 2022,760,
February 2022,1124,
March 2022,1165,
April 2022,990,
May 2022,833,
June 2022,1000,
July 2022,848,
August 2022,956,
September 2022,1015,
October 2022,850,
November 2022,754,
December 2022,788,
January 2023,895,
February 2023,852,
March 2023,903,
April 2023,915,
May 2023,940,
June 2023,1297,
July 2023,927,
August 2023,954,
September 2023,908,
October 2023,1050,
November 2023,1061,
December 2023,818,
January 2024,774,
February 2024,1091,
March 2024,929,
April 2024,940,
May 2024,949,
June 2024,966,
July 2024,897,
August 2024,1076,
September 2024,841,
October 2024,1163,
November 2024,966,
December 2024,997,
January 2025,1202,
February 2025,1174,
March 2025,1001,
April 2025,970,
May 2025,1070,
June 2025,950,
July 2025,1178,
August 2025,902,
September 2025,964,
October 2025,1336,
November 2025,1402,
December 2025,1349,
January 2026,1134,
February 2026,1261,
March 2026,1082,
April 2026,1442,
May 2026,1538,
June 2026,972,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


